,0
1327,5.1 
1328,3.5 
1329,4.9 
1330,2.55 
1331,5.75 
1332,8 
1333,4.99 
1334,3.11 
1335,7.6 
1336,6.55 
1337,9.5 
1338,1.1 
1339,6 
1340,7.25 
1341,5.5 
1342,4.5 
1343,4.99 
1344,3.93 
1345,6.65 
1346,2.2 
1347,7.1 
1348,28.5 
1349,3.85 
1350,4.25 
1351,4.38 
1352,4.5 
1353,6.25 
1354,6.2 
1355,8.5 
1356,17.55 
1357,34.99 
1358,4.6 
1359,15 
1360,7 
1361,3.75 
1362,6.29 
1363,6.8 
1364,17.75 
1365,17 
1366,2.11 
1367,10.5 
1368,15.75 
1369,4.9 
1370,3.4 
1371,7.71 
1372,11.5 
1373,8.75 
1374,18.39 
1375,15 
1376,5.25 
1377,41.5 
1378,4 
1379,3.45 
1380,10.55 
1381,3.1 
1382,5.76 
1383,4.45 
1384,1 
1385,4.6 
1386,3.8 
1387,11.5 
1388,15 
1389,4.99 
1390,2.75 
1391,1 
1392,17.95 
1393,4.9 
1394,3.4 
1395,5.3 
1396,5.1 
1397,8.8 
1398,4.48 
1399,6.65 
1400,8 
1401,12.4 
1402,5.95 
1403,9.75 
1404,7 
1405,10.35 
1406,4.45 
1407,5.85 
1408,14.55 
1409,3.25 
1410,2.45 
1411,4.8 
1412,3.5 
1413,13.85 
1414,27.99 
1415,6.75 
1416,6.77 
1417,8.85 
1418,5.45 
1419,4.1 
1420,6.91 
1421,7.25 
1422,8.25 
1423,7.76 
1424,6.25 
1425,3.5 
1426,5.65 
1427,5.5 
1428,6.62 
1429,1.5 
1430,13.75 
1431,9.6 
1432,57 
1433,2.45 
1434,8.49 
1435,1.4 
1436,16 
1437,3.1 
1438,4.35 
1439,4.75 
1440,8.51 
1441,20.5 
1442,4.15 
1443,11.2 
1444,2 
1445,3.45 
1446,7.25 
1447,4.5 
1448,10.39 
1449,3.5 
1450,3.75 
1451,5.61 
1452,16.5 
1453,4.25 
1454,18.25 
1455,5.05 
1456,1.75 
1457,7.51 
1458,4.9 
1459,2.95 
1460,20.9 
1461,4.99 
1462,8.45 
1463,2.9 
1464,6.8 
1465,11 
1466,3.25 
1467,4.5 
1468,1.8 
1469,4.48 
1470,3.25 
1471,28.5 
1472,10 
1473,38 
1474,30 
1475,7.55 
1476,6.9 
1477,16.85 
1478,6.11 
1479,5.7 
1480,4.75 
1481,6 
1482,2.85 
1483,14 
1484,19.25 
1485,10.5 
1486,9.75 
1487,6.15 
1488,3.24 
1489,4.4 
1490,11 
1491,4.5 
1492,11.6 
1493,5.2 
1494,9.25 
1495,4.5 
1496,6.5 
1497,3.25 
1498,3.4 
1499,6.25 
1500,4.25 
1501,5.29 
1502,4.8 
1503,13.6 
1504,8.1 
1505,1.4 
1506,5.75 
1507,8 
1508,3.3 
1509,5.25 
1510,6.35 
1511,16.45 
1512,3.25 
1513,4 
1514,3.75 
1515,2.25 
1516,13.99 
1517,5.35 
1518,4.35 
1519,4.25 
1520,5.45 
1521,4.11 
1522,28.75 
1523,2.6 
1524,17 
1525,3 
1526,2.65 
1527,8.9 
1528,4.5 
1529,2.9 
1530,7.5 
1531,10 
1532,3.1 
1533,5.45 
1534,4.75 
1535,16.25 
1536,6.95 
1537,3.31 
1538,6.15 
1539,2.1 
1540,8.5 
1541,2.5 
1542,7 
1543,4.25 
1544,3.25 
1545,24 
1546,2.75 
1547,3.11 
1548,5.11 
1549,8.2 
1550,7.35 
1551,4.65 
1552,3.72 
1553,4.25 
1554,6.25 
1555,7.25 
1556,3.1 
1557,2.5 
1558,7.25 
1559,7 
1560,6.5 
1561,5.5 
1562,6.3 
1563,3.35 
1564,7.65 
1565,4 
1566,2.95 
1567,18.25 
1568,2.45 
1569,6.15 
1570,4.3 
1571,6 
1572,3.5 
1573,4.15 
1574,14 
1575,8.2 
1576,5.5 
1577,3.7 
1578,6 
1579,6 
1580,5.5 
1581,3 
1582,9.25 
1583,10.5 
1584,6.9 
1585,4.65 
1586,15.75 
1587,8.25 
1588,18.55 
1589,4.55 
1590,6.8 
1591,5.24 
1592,4.1 
1593,3.49 
1594,7.45 
1595,3.8 
1596,7.01 
1597,9.5 
1598,2.9 
1599,6.51 
1600,6.91 
1601,3.47 
1602,9.99 
1603,3.4 
1604,59.95 
1605,3.25 
1606,5.75 
1607,6.18 
1608,2.9 
1609,4.11 
1610,17.5 
1611,13.51 
1612,5.79 
1613,3.5 
1614,6.15 
1615,5.21 
1616,5.35 
1617,4 
1618,4.75 
1619,4.25 
1620,3.25 
1621,7.75 
1622,3.55 
1623,2.95 
1624,5.5 
1625,6 
1626,6.3 
1627,3.39 
1628,8.45 
1629,65 
1630,11.35 
1631,6.4 
1632,9.45 
1633,6.25 
1634,8.45 
1635,10.95 
1636,3.5 
1637,18.45 
1638,13.75 
1639,16.65 
1640,16 
1641,4.75 
1642,4.85 
1643,4.75 
1644,7.89 
1645,5.75 
1646,8.3 
1647,28.5 
1648,9.75 
1649,4.5 
1650,28.5 
1651,2.95 
1652,5.6 
1653,4 
1654,21.11 
1655,13.5 
1656,3.2 
1657,3.15 
1658,3.7 
1659,5.99 
1660,22.5 
1661,2.51 
1662,2 
1663,4.25 
1664,3.8 
1665,5.5 
1666,3.51 
1667,5.75 
1668,2.75 
1669,3.2 
1670,4 
1671,5.75 
1672,4.32 
1673,3.45 
1674,2.7 
1675,5.75 
1676,23.95 
1677,7.75 
1678,6.99 
1679,13.7 
1680,18 
1681,6.75 
1682,11.25 
1683,2.99 
1684,27.5 
1685,14 
1686,19.85 
1687,4.16 
1688,5.25 
1689,2.65 
1690,11 
1691,4.65 
1692,8 
1693,5.75 
1694,4.5 
1695,21 
1696,4.8 
1697,4.3 
1698,6.2 
1699,8.29 
1700,6 
1701,4.21 
1702,3 
1703,5.5 
1704,18.5 
1705,10.75 
1706,3.29 
1707,2.25 
1708,5.21 
1709,5.25 
1710,33.5 
1711,19.51 
1712,5 
1713,5.91 
1714,7 
1715,3.75 
1716,7.95 
1717,5.5 
1718,6.85 
1719,4.95 
1720,7.95 
1721,6.65 
1722,5 
1723,3.8 
1724,7 
1725,10.5 
1726,5.25 
1727,7.5 
1728,7.5 
1729,3.75 
1730,2.75 
1731,2.85 
1732,7.75 
1733,3.65 
1734,5.82 
1735,9.5 
1736,5.51 
1737,6.5 
1738,4.8 
1739,7.4 
1740,9.75 
1741,15.75 
1742,5.1 
1743,6.45 
1744,13.45 
1745,6.4 
1746,2.75 
1747,3.5 
1748,4.15 
1749,6.1 
1750,1.5 
1751,4.25 
1752,6 
1753,5 
1754,3.75 
1755,14.75 
1756,5.5 
1757,33 
1758,11.91 
1759,6.25 
1760,7.1 
1761,4.45 
1762,42 
1763,2.75 
1764,9.55 
1765,3.85 
1766,5.25 
1767,8 
1768,2.5 
1769,7.55 
1770,9.45 
1771,5 
1772,5.1 
1773,2.94 
1774,6.5 
1775,3.25 
1776,2.65 
1777,4.65 
1778,4.86 
1779,11.5 
1780,7.5 
1781,2.6 
1782,3.35 
1783,3 
1784,3.99 
1785,10.8 
1786,10 
1787,9.85 
1788,3.49 
1789,5.6 
1790,11.99 
1791,3.5 
1792,4 
1793,16 
1794,7.75 
1795,6.75 
1796,3.75 
1797,3.75 
1798,4.65 
1799,6.6 
1800,8.5 
1801,2.25 
1802,18.9 
1803,3.85 
1804,3.25 
1805,4.25 
1806,5.11 
1807,6.21 
1808,4.25 
1809,5.21 
1810,18.5 
1811,25.5 
1812,7.8 
1813,14.35 
1814,6 
1815,5.4 
1816,3.95 
1817,2.25 
1818,6.45 
1819,"60,000"
1820,3.5 
1821,1.66 
1822,5.5 
1823,1.25 
1824,9.31 
1825,3.75 
1826,6.1 
1827,9.74 
1828,2.69 
1829,3.4 
1830,4.85 
1831,6.53 
1832,6.5 
1833,5.81 
1834,5.85 
1835,3.85 
1836,4.5 
1837,7.45 
1838,7.95 
1839,6.75 
1840,6 
1841,4.1 
1842,6.5 
1843,7.1 
1844,6.51 
1845,27.5 
1846,6 
1847,17 
1848,5.4 
1849,3.25 
1850,5.1 
1851,12.8 
1852,3.5 
1853,10.75 
1854,2.4 
1855,8.75 
1856,4.79 
1857,3.25 
1858,5.85 
1859,4.59 
1860,8.85 
1861,7.85 
1862,15 
1863,7.5 
1864,1.95 
1865,7.95 
1866,6.15 
1867,33.75 
1868,7.31 
1869,4.75 
1870,3.25 
1871,4 
1872,3.99 
1873,11.25 
1874,4.99 
1875,1.1 
1876,6.65 
1877,10 
1878,6.9 
1879,7.65 
1880,6.5 
1881,2.49 
1882,2.5 
1883,3.71 
1884,4.25 
1885,4.25 
1886,10.95 
1887,8.45 
1888,9.75 
1889,4.11 
1890,3.96 
1891,7.5 
1892,2.82 
1893,16.5 
1894,4.9 
1895,6.5 
1896,2.5 
1897,3.5 
1898,7 
1899,3.5 
1900,5.5 
1901,4.75 
1902,10.75 
1903,2.71 
1904,2.55 
1905,8.55 
1906,16.5 
1907,7.2 
1908,2.4 
1909,9.4 
1910,7.75 
1911,4.49 
1912,4.6 
1913,4.1 
1914,8.21 
1915,5.1 
1916,2 
1917,10.25 
1918,5.25 
1919,5.5 
1920,15.5 
1921,5.45 
1922,2.75 
1923,4.22 
1924,9.75 
1925,6.9 
1926,6.62 
1927,4.85 
1928,5.2 
1929,4.25 
1930,7 
1931,18.9 
1932,7 
1933,3.49 
1934,7.45 
1935,5.35 
1936,3.5 
1937,5 
1938,32 
1939,7.5 
1940,10.5 
1941,16.99 
1942,2.2 
1943,7.54 
1944,2.49 
1945,5.78 
1946,3.1 
1947,11.25 
1948,3.99 
1949,4.75 
1950,4 
